Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词
农业机械节能与环保技术研究与应用,孙艳艳,青海大学;,河北农机,农业机械;;节能技术;;环保技术;;智能化
低碳环保约束下人工智能在电商创新发展中的应用,宋培森; 于本成; 龙浩,徐州工业职业技术学院;,环境工程,
总体国家安全观视域下城市数据安全治理研究,冯旭,兰州大学,兰州大学,总体国家安全观;;数据安全;;城市治理;;数字化转型;;治理现代化
人工智能技术在现代农业机械中的应用研究,胡庆松,浙江省兰溪市香溪镇人民政府;,南方农机,人工智能;;农业机械;;应用前景
郑州市人民政府关于印发郑州市“十四五”战略性新兴产业发展总体规划(2021—2025年)的通知,,,郑州市人民政府公报,
技术赋能背景下环境法范式转型研究,黎梦兵,湘潭大学,湘潭大学,环境法范式;;技术赋能;;范式转型;;智慧型环境法范式
环保数字产业化的模式研究与对策建议,于小溪,河北经贸大学,河北经贸大学,数字产业化;;环保数字产业化;;环保数字产业化模式;;对策建议
智慧农业农村生态环境监测展望,莫莉; 费杨,生态环境部土壤与农业农村生态环境监管技术中心;,中国环境科学学会2021年科学技术年会论文集（三）,农业农村;;生态环境监测;;大数据;;人工智能;;物联网
论我国农业机械新技术的应用和发展前景,高源康; 张作森,东北农业大学;,现代农机,农业机械;;新技术;;应用;;发展前景
现代信息技术赋能“两山”理念实践,应劼正; 程翠云,杭州电子科技大学;生态环境部环境规划院;,中华环境,
教育部关于印发普通高中课程方案和语文等学科课程标准（2017年版2020年修订）的通知,,教育部;,中华人民共和国教育部公报,
我国建筑垃圾现状分析及其资源化利用进程发展,时乐,苏州科技大学天平学院;,建材与装饰,建筑垃圾;;资源化利用;;循环经济;;工程应用
5G网络技术对提升4G网络性能的研究,刘奕,湖南科技职业学院人工智能学院;,数码世界,4G网络;;5G技术;;网络性能
美丽中国建设的产业哲学研究,靳媛媛,湖南大学,湖南大学,美丽中国;;产业;;哲学;;产业实践论
政策工具视角下的智能制造战略政策量化研究,贺雪姣,武汉大学,武汉大学,智能制造;;技术创新;;政策文本内容文;;本量化分析;;优化路径
技术发展之生态转向,黎喻辉,南昌大学,南昌大学,技术;;生态;;范式
河南省人民政府办公厅关于印发河南省新型显示和智能终端产业发展行动方案等8个方案的通知,,河南省人民政府办公厅;,河南省人民政府公报,
天水市人民政府办公室关于印发天水市新一代人工智能发展实施方案的通知,,,天水市人民政府公报,
许昌市人民政府关于印发许昌市智能电力装备产业发展行动方案等9个方案的通知,,许昌市人民政府;,许昌市人民政府公报,
科技前沿,,,猪业科学,
科技风险规制过程中的行政法问题研究,张哲飞,中南财经政法大学,中南财经政法大学,科技风险;;行政法;;行政过程;;规制;;法律制度
人工智能技术在减少纺织服装行业碳排放中的发展与应用,佟欢; 刘洋洋,江南大学设计学院;清州大学;湖州职业技术学院艺术与时尚创意学院;,印染,人工智能技术;;纺织业;;碳排放;;可持续
